,time,tweets
7,2018-07-22 15:53:36,b'RT @archi0606: #NoConfidenceMotion\nBarwala Kand was a pre-planned political conspiracy of the Haryana Government &amp; #\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa5\x81\xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xa8_IG_\xe0\xa4\x85\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xb5\xe2\x80\xa6'
7,2018-07-22 10:26:51,b'Well donee MODI sir. We love and support MODI @narendramodi  #PrimeMinister #lovemodi #modisarkar #BJP #india  #IncredibleIndia #starup'
8,2018-07-22 15:53:24,"b""RT @maulinshah9: The PM's speech was like watching a blockbuster movie in Parliament. He has the potential to be the best actor in the worl\xe2\x80\xa6"""
8,2018-07-22 10:21:45,b'RT @DrGarekar: #Congress may again introduce #NoConfidenceMotion against #ModiSarkar in Parliament to erase winking scene from mind of peop\xe2\x80\xa6'
9,2018-07-22 15:53:11,"b""RT @Sunanda_26: Issues Rahul Gandhi  raised in his speech-\n-Rafael Deal\n-Low Employment Rate\n-Doklam Standoff\n-Modi's China visit\n-Crony ca\xe2\x80\xa6"""
9,2018-07-22 10:16:15,b'RT @DrGarekar: #Congress may again introduce #NoConfidenceMotion against #ModiSarkar in Parliament to erase winking scene from mind of peop\xe2\x80\xa6'
10,2018-07-22 15:53:09,"b""I am worried about the entertainment post 2019 elections as Pappu won't even be a MP. I hope he continues to be on\xe2\x80\xa6 https://t.co/pc4kPOwUkM"""
10,2018-07-22 10:04:17,b'RT @DrGarekar: #Congress may again introduce #NoConfidenceMotion against #ModiSarkar in Parliament to erase winking scene from mind of peop\xe2\x80\xa6'
11,2018-07-22 09:58:56,b'#Congress may again introduce #NoConfidenceMotion against #ModiSarkar in Parliament to erase winking scene from mind of people'
11,2018-07-22 15:53:09,"b""RT @maulinshah9: The PM's speech was like watching a blockbuster movie in Parliament. He has the potential to be the best actor in the worl\xe2\x80\xa6"""
12,2018-07-22 09:24:26,b'RT @gandhi_pv: Did #ModiSarkar took single any initiative in Indias R&amp;D space to create New Technology  \nBy India for India\nBy India for th\xe2\x80\xa6'
12,2018-07-22 15:53:04,b'RT @Mahaveerdas97: #NoConfidenceMotion\n@mlkhattar Govt. and IG Anil Rao is responsible for Barwala Scandal 2014.\nIn police proceedings 6 pe\xe2\x80\xa6'
13,2018-07-22 08:49:20,b'RT @MrKarmaYogi: One more #HusbandSuicide is on #ModiSarkar.. He found that his wife committed #Adultery but he was threatened with #498a (\xe2\x80\xa6'
13,2018-07-22 15:53:02,b'RT @INCBhavna: Love this headline in Today\xe2\x80\x99s DNA. all the Bhakts please remember this !! @RahulGandhi is the hero of the \xf0\x9f\x92\x95 of the People of\xe2\x80\xa6'
14,2018-07-22 08:48:48,b'RT @MrKarmaYogi: One more #HusbandSuicide is on #ModiSarkar.. He found that his wife committed #Adultery but he was threatened with #498a (\xe2\x80\xa6'
14,2018-07-22 15:52:56,b'RT @KPadmaRani1: @RahulGandhi Nazro ke teer mare kas kas kas\nEk nahi do nahi aath no das...\n\nThank heavens it was Parliament and Live on TV\xe2\x80\xa6'
15,2018-07-22 15:52:46,b'RT @thevijaymahajan: \xe0\xa4\x9d\xe0\xa5\x82\xe0\xa4\xa0 \xe0\xa4\xac\xe0\xa5\x8b\xe0\xa4\xb2\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x8c\xe0\xa4\xb5\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x9f\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x8c\xe0\xa4\xb5\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xa1\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x8b \n\nCriticism is backed by conviction and through research \n\nRanting is what you n\xe2\x80\xa6'
15,2018-07-22 08:22:03,b'RT @AshishV60183988: @narendramodi sir i want to say that there are many misunderstandings about your #modisarkar \nSome of our society spre\xe2\x80\xa6'
16,2018-07-22 15:52:36,"b""RT @AakashTaywade: Hon. Shri @nitin_gadkari Ji while listening to Modi Ji's #NoConfidenceMotion speech..\n1st time Modi Ji were out of track\xe2\x80\xa6"""
16,2018-07-22 08:18:07,"b""Don't understand why every minister is thanking the PM for #GSTFreeSanitaryNapkins? It isn't like that #gst was imp\xe2\x80\xa6 https://t.co/oQ4uP7fGz5"""
17,2018-07-22 15:52:31,"b""RT @Ra_THORe: Rahul Gandhi has the audacity to call Surgical Strikes, a 'Jumla Strike'. \n\nIt is shameful to use this kind of language for o\xe2\x80\xa6"""
17,2018-07-22 08:17:23,b'@narendramodi sir i want to say that there are many misunderstandings about your #modisarkar \nSome of our society s\xe2\x80\xa6 https://t.co/Jas3WjbKLI'
18,2018-07-22 08:06:09,"b'#AjayKumar, Advocate &amp; President, #WorldParliament welcoming the guest at World Parliament Conclave. VK Mishra, Cha\xe2\x80\xa6 https://t.co/tRD2pfrC8K'"
18,2018-07-22 15:52:23,"b'RT @TiimesHow: Just In : ""So what if Rahul Gandhi Ji lost the #NoConfidenceMotion today. Atleast he proved that his charm, aura &amp; impact is\xe2\x80\xa6'"
19,2018-07-22 15:52:13,"b'RT @arjunraw99: #NoConfidenceMotion\n#\xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe\xe0\xa4\xa3\xe0\xa4\xbe_\xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82_\xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x9f\xe0\xa4\xb2\xe0\xa4\xb0_\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9c\nHaryana Government has no evidence against Sant Rampal, it proves that Saint Ram\xe2\x80\xa6'"
19,2018-07-22 08:05:48,"b'#AjayKumar, Advocate &amp; President, #WorldParliament welcoming the guest at World Parliament Conclave. VK Mishra, Cha\xe2\x80\xa6 https://t.co/56PEzyLyWh'"
20,2018-07-22 07:28:45,"b""RT @pradi44001: The Government of India allowed the Office of Free Baluchistan in Delhi. Pakistan has been shocked  in India's efforts.\n#Mo\xe2\x80\xa6"""
20,2018-07-22 15:52:12,b'A great job done by #MRCC  President @sanjaynirupam to spreads the photo of #NoConfidenceMotion of@Rahul Gandhi &amp;\xe2\x80\xa6 https://t.co/zS0x7w6ia4'
21,2018-07-22 06:48:07,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
21,2018-07-22 15:52:06,b'RT @VinayDokania: Seriously hilarious..\n\nVia whatsapp.\n#NoConfidenceMotion #ModiLiesInParliament \n\nWhen Modi realized #BhookampAaGaya https\xe2\x80\xa6'
22,2018-07-22 15:52:04,"b""RT @priyaakulkarni2: Failed/Flop @RahulGandhi 's speech &amp; scripted hug was quiet entertaining just like a late night comedy show. His claim\xe2\x80\xa6"""
22,2018-07-22 06:45:39,b'RT @MrKarmaYogi: One more #HusbandSuicide is on #ModiSarkar.. He found that his wife committed #Adultery but he was threatened with #498a (\xe2\x80\xa6'
23,2018-07-22 05:44:35,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
23,2018-07-22 15:51:51,b'RT @6hi___: @krirtna @idiptim @atyagimedia @I_am_Anil_Tyagi @iammnisa @RuchiraC @Kundra_Vishal #ModiLiesInParliament #NoConfidenceMotion \n#\xe2\x80\xa6'
24,2018-07-22 04:42:07,"b""The Government of India allowed the Office of Free Baluchistan in Delhi. Pakistan has been shocked  in India's effo\xe2\x80\xa6 https://t.co/Myykc9WOAU"""
24,2018-07-22 15:51:47,b'RT @VinayDokania: Hypocrisy meter inside parliament while PM @narendramodi #ModiLiesInParliament\nDuring #NoConfidenceMotion\n\n@divyaspandana\xe2\x80\xa6'
25,2018-07-22 03:40:41,b'RT @gandhi_pv: Did #ModiSarkar took single any initiative in Indias R&amp;D space to create New Technology  \nBy India for India\nBy India for th\xe2\x80\xa6'
25,2018-07-22 15:51:45,b'RT @zairawasims: Good Morning everyone \xf0\x9f\x8c\xbf\xf0\x9f\x8c\xba\n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\n\n#NoConfidenceMotion #Dhadak #GSTCouncilMeet #Zero #Bharat\n#AamirKhan #ThugsOfHindostan #Z\xe2\x80\xa6'
26,2018-07-22 03:33:50,b'RT @MrKarmaYogi: One more #HusbandSuicide is on #ModiSarkar.. He found that his wife committed #Adultery but he was threatened with #498a (\xe2\x80\xa6'
26,2018-07-22 15:51:42,b'RT @KPadmaRani1: #NoConfidenceMotion \nCountry witnessed two things\n\n1) @RahulGandhi is fearless in raising important questions\n\n2) @narendr\xe2\x80\xa6'
27,2018-07-22 15:51:42,b'RT @usdas12: #NoConfidenceMotion\ngovt in haryana and in Delhi should face social no confidence motion as\n#\xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe\xe0\xa4\xa3\xe0\xa4\xbe_\xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82_\xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x9f\xe0\xa4\xb2\xe0\xa4\xb0_\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9c\npredetermin\xe2\x80\xa6'
27,2018-07-22 03:26:27,b'RT @MrKarmaYogi: One more #HusbandSuicide is on #ModiSarkar.. He found that his wife committed #Adultery but he was threatened with #498a (\xe2\x80\xa6'
28,2018-07-22 03:17:38,b'RT @MrKarmaYogi: Centre opposes plea in SC that seeks to make women also liable for crime of adultery https://t.co/RBHh7d4Gjy\n#JusticeForAl\xe2\x80\xa6'
28,2018-07-22 15:51:34,"b""RT @DasiPriti: #NoConfidenceMotion\n#\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa5\x81\xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xa8_IG_\xe0\xa4\x85\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xb5's hands are stained with the blood of 6 innocent devotees of sant rampal ji maha\xe2\x80\xa6"""
29,2018-07-22 15:51:13,b'RT @iyer_rn: #BJP must learn to consolidate #Hindu votes and stop pampering Minorities. #IndiaTrustsModi #IndiaTrustModi #NoConfidenceMotio\xe2\x80\xa6'
29,2018-07-22 03:17:30,"b""RT @AbhayChakradhar: #ModiSarkar is lobotomized and can't accept that Women can do crime. They countered in the #SC that women cant be char\xe2\x80\xa6"""
30,2018-07-22 15:51:07,"b'RT @IndianExpress: #VIDEO | #NarendraModi says Congress made a mess of Andhra bifurcation, just the way it did during Partition: https://t.\xe2\x80\xa6'"
30,2018-07-22 03:13:15,b'RT @MrKarmaYogi: One more #HusbandSuicide is on #ModiSarkar.. He found that his wife committed #Adultery but he was threatened with #498a (\xe2\x80\xa6'
31,2018-07-22 15:50:59,"b""With @AAPHaryana increasing it's attack on @INLDofficial for abstaining to vote during #NoConfidenceMotion and help\xe2\x80\xa6 https://t.co/U2zdKqcZOg"""
31,2018-07-22 03:10:58,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
32,2018-07-22 15:50:58,"b'RT @PriyankINC: Dear #Modi ji,\nWith dew respect I just want to say u that....\n#jhola_uthao_nikal_lo..\nCoz this is just the beginning of #ra\xe2\x80\xa6'"
32,2018-07-22 03:08:10,b'Did #ModiSarkar took single any initiative in Indias R&amp;D space to create New Technology  \nBy India for India\nBy Ind\xe2\x80\xa6 https://t.co/nPmoF7EaV3'
33,2018-07-22 03:03:05,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
33,2018-07-22 15:50:55,"b'RT @Ethirajans: Time allotted is based on the number of MPs a party has! BJP has nearly 7 times more MPs than @INCIndia! Yes, Rest is histo\xe2\x80\xa6'"
34,2018-07-22 15:50:48,"b'RT @nsuisamvad: Congratulations to those 126 AYES. Those 126 AYES are the Yes of Democracy, Secularism, Equality &amp; the voice of the voicele\xe2\x80\xa6'"
34,2018-07-22 02:51:40,b'By Refusing to be transparent on #RafaleDeal price and removal of Tech Transfer to HAL to make future fighters in I\xe2\x80\xa6 https://t.co/LkzHNJgu5Z'
35,2018-07-22 15:50:47,b'RT @sonali_goculdas: #ShivSena  I voted for for your MP From south Mumbai because I wanted Mr Narendra Modi as PM #NoConfidenceMotion I Did\xe2\x80\xa6'
35,2018-07-22 02:16:37,b'RT @Jainpankajkasan: #womenempowerment is one of the top #priorities of #modisarkar #thanks #modiji https://t.co/TS8R451YnH'
36,2018-07-22 15:50:43,b'He @Dev_Fadnavis is first CM to cancel puja at Vitthal Temple. Even God don\xe2\x80\x99t want BJP people in Mandir.\xe2\x80\xa6 https://t.co/wCnaECKagU'
36,2018-07-22 02:10:03,b'#womenempowerment is one of the top #priorities of #modisarkar #thanks #modiji https://t.co/TS8R451YnH'
37,2018-07-22 15:50:27,b'RT @himantabiswa: The @INCIndia of @RahulGandhi continues to defy logic &amp; woefully lack credible narratives to drive political discourse in\xe2\x80\xa6'
37,2018-07-22 01:51:53,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
38,2018-07-22 00:30:59,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
38,2018-07-22 15:50:26,b'@NerdMocking @RahulGandhi Salute this man ..after being slayed by @narendramodi during #NoConfidenceMotion   he sti\xe2\x80\xa6 https://t.co/79WHnacL1U'
39,2018-07-22 00:29:43,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
39,2018-07-22 15:50:24,b'RT @himantabiswa: The #NoConfidenceMotion drama comes to an end as expected. It massively exposes hollowness of an exasperated .@INCIndia &amp;\xe2\x80\xa6'
40,2018-07-21 20:08:31,b'@sureshpprabhu why dont you bring the petrol and diesel into gst. @sureshpprabhu @narendramodi.  All things are use\xe2\x80\xa6 https://t.co/Wpqg1kyI9B'
40,2018-07-22 15:50:22,b'RT @drashwathcn: Rampant lies and falsehood have become the  hallmark of Rahul Gandhi. The dynast seems intent on destroying whatever is le\xe2\x80\xa6'
41,2018-07-22 15:50:07,b'RT @Truethoughts68: Pappu &amp; Scindia behaved like rich spoiled brats &amp; Venu acted like a cheap Cohort in a classroom. Kharge acted like a dy\xe2\x80\xa6'
41,2018-07-21 19:13:04,"b'RT @PreetiSMenon: As always @BhagwantMann, in few a direct words, tears apart #ModiSarkar \n#NoConfidenceMotion https://t.co/zSdrszlyrv'"
42,2018-07-21 19:00:06,"b'#ModiSarkar \n@arunjaitley \n@PiyushGoyal \n@narendramodi \n\nSirs, since you have already serviced all intl debt commit\xe2\x80\xa6 https://t.co/Fb4E3NMmK2'"
42,2018-07-22 15:50:05,b'RT @bhatia_niraj23: Obeying What He Preached Life Long ..\n\n#ModiLiesInParliament \n#NoConfidenceMotion https://t.co/0GRkNULfcz'
43,2018-07-22 15:50:05,b'RT @KPadmaRani1: #NoConfidenceMotion \nCountry witnessed two things\n\n1) @RahulGandhi is fearless in raising important questions\n\n2) @narendr\xe2\x80\xa6'
43,2018-07-21 18:56:58,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
44,2018-07-21 18:54:58,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
44,2018-07-22 15:49:53,"b""RT @MrsGandhi: The 'khoon ki dalaali karne wala', 'maut ka saudagar' just got a hug from @RahulGandhi!! It's called #ModiMagic!!\n#NoConfide\xe2\x80\xa6"""
45,2018-07-21 18:53:44,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
45,2018-07-22 15:49:52,"b""RT @jothims: A single man with 48 MP's on his side rattled the  BJP with 273 MP's ! They are keep screaming for every word he is uttering!\xe2\x80\xa6"""
46,2018-07-22 15:49:36,"b'RT @Fairoz_JK: My leader @RahulGandhi Ji always stood for #PoliticsOfLove\n\xe2\x80\x9cYou can abuse me, you can call me anything , but I don\xe2\x80\x99t have a\xe2\x80\xa6'"
46,2018-07-21 18:52:58,"b'RT @PreetiSMenon: As always @BhagwantMann, in few a direct words, tears apart #ModiSarkar \n#NoConfidenceMotion https://t.co/zSdrszlyrv'"
47,2018-07-21 18:20:10,"b'RT @PreetiSMenon: As always @BhagwantMann, in few a direct words, tears apart #ModiSarkar \n#NoConfidenceMotion https://t.co/zSdrszlyrv'"
47,2018-07-22 15:49:30,"b'Congratulations to those 126 AYES. Those 126 AYES are the Yes of Democracy, Secularism, Equality &amp; the voice of the\xe2\x80\xa6 https://t.co/t0iKOYndRr'"
48,2018-07-22 15:49:27,b'RT @drkarthik_n: Pk anna after watching #JayadevGalla and especially #RamMohanNaidu speeches. Uttarandra card use chesi leader avdam ankunt\xe2\x80\xa6'
48,2018-07-21 18:17:47,"b'@sureshpprabhu @PMOIndia @narendramodi Yes they were watching, which is why French Govt provided the clarification.\xe2\x80\xa6 https://t.co/cCzmiqtosB'"
49,2018-07-22 15:49:21,"b'RT @Indiansontop: Have you ever seen the face of \xe0\xa4\x85\xe0\xa4\xb9\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0, if not then watch it today \n\nSee the face of Lie which told in media houses that ""\xe2\x80\xa6'"
49,2018-07-21 17:48:17,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
50,2018-07-22 15:49:21,b'RT @avhflatbuyers: #NoConfidenceMotion #BhookampAaneWalaHai #yogimodighardilao warna #AmrapaliFlatBuyers will be on the road very soon for\xe2\x80\xa6'
50,2018-07-21 17:36:44,"b'RT @friendscongress: We also need a counter narrative, a vision for India with action plan, for all the failures of #ModiSarkar &amp; providing\xe2\x80\xa6'"
51,2018-07-21 17:33:34,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
51,2018-07-22 15:49:18,"b""RT @ashishdua_INC: This defines way ahead post .#NoConfidenceMotion... 125 cr countrymen can't be led astray in 2019 by Jumlas or Polarisat\xe2\x80\xa6"""
52,2018-07-22 15:49:05,"b""RT @simbamara: PM exposes @INCIndia\xe2\x80\x99s NPA MESS during #NoConfidenceMotion :''UPA Govt created system of \xe2\x80\x9cUnderground Loot\xe2\x80\x9d from 2008 to 201\xe2\x80\xa6"""
52,2018-07-21 17:05:31,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
53,2018-07-21 17:05:16,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
53,2018-07-22 15:48:52,b'RT @VinayDokania: Now the shameless moron is speaking lies on Dokhlam\nWhat a disgraceful PM we have\n\n#ModiLiesInParliament #NoConfidenceMot\xe2\x80\xa6'
54,2018-07-22 15:48:46,b'RT @Being_Humor: Please read this article which proves that @RahulGandhi\xe2\x80\x99s speech during #NoConfidenceMotion was a poor translation of Munn\xe2\x80\xa6'
54,2018-07-21 17:04:42,b'RT @friendscongress: #BetiBachao was launched by #ModiSarkar in #Haryana. And the state has become a horror state for women. When will they\xe2\x80\xa6'
55,2018-07-22 15:48:40,"b'RT @Fairoz_JK: Congratulations to those 126 AYES. Those 126 AYES are the Yes of Democracy, Secularism, Equality and the voice of the voicel\xe2\x80\xa6'"
55,2018-07-21 17:00:59,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
56,2018-07-22 15:48:39,"b""RT @VHS_TAMILNADU: @Swamy39 #BREAKING_NEWS:- RAHUL GANDHI'S HUG TO PRIME MINISTER NARENDRA MODI WAS CHILDISH ACT:- SUBRAMANIAN SWAMY JI.\n-\xe2\x80\xa6"""
56,2018-07-21 16:55:36,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
57,2018-07-22 15:48:32,b'RT @KPadmaRani1: #NoConfidenceMotion \nCountry witnessed two things\n\n1) @RahulGandhi is fearless in raising important questions\n\n2) @narendr\xe2\x80\xa6'
57,2018-07-21 16:54:55,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
58,2018-07-22 15:48:26,"b""RT @VivekSingr_: If the Court will have to deliver judgement as per the Govt's liking or disliking then Who will people look up to for just\xe2\x80\xa6"""
58,2018-07-21 16:46:02,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
59,2018-07-21 16:44:39,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
59,2018-07-22 15:48:24,b'RT @zairawasims: Good Morning everyone \xf0\x9f\x8c\xbf\xf0\x9f\x8c\xba\n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\n\n#NoConfidenceMotion #Dhadak #GSTCouncilMeet #Zero #Bharat\n#AamirKhan #ThugsOfHindostan #Z\xe2\x80\xa6'
60,2018-07-22 15:48:17,b'RT @DailyO_: What the #Opposition achieved with the #NoConfidenceMotion | @gautambenegal | https://t.co/oAemWTd7xQ https://t.co/ylKT6Vqptm'
60,2018-07-21 16:40:29,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
61,2018-07-22 15:48:09,b'RT @yashwantdas01: #\xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xa8\xe0\xa5\x80_\xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 pressurized judge to verdict in government side.judicial systam needs overhaul\n#NoConfidenceMotion \n@aajtak\xe2\x80\xa6'
61,2018-07-21 16:37:22,"b'RT @PreetiSMenon: As always @BhagwantMann, in few a direct words, tears apart #ModiSarkar \n#NoConfidenceMotion https://t.co/zSdrszlyrv'"
62,2018-07-21 16:32:28,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
62,2018-07-22 15:48:02,b'RT @DailyO_: What the #Opposition achieved with the #NoConfidenceMotion | @gautambenegal | https://t.co/oAemWTd7xQ https://t.co/ylKT6Vqptm'
63,2018-07-21 16:26:30,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
63,2018-07-22 15:48:02,b'RT @DailyO_: What the #Opposition achieved with the #NoConfidenceMotion | @gautambenegal | https://t.co/oAemWTd7xQ https://t.co/ylKT6Vqptm'
64,2018-07-21 16:25:20,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
64,2018-07-22 15:47:48,"b'RT @Indiansontop: Have you ever seen the face of \xe0\xa4\x85\xe0\xa4\xb9\xe0\xa4\x82\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0, if not then watch it today \n\nSee the face of Lie which told in media houses that ""\xe2\x80\xa6'"
65,2018-07-22 15:47:39,b'RT @trollsangh: See the difference \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n#GSTCouncilMeet #NoConfidenceMotion #IndiaTrustsModi #trollsangh https://t.co/W0GOWRPziq'
65,2018-07-21 16:25:16,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
66,2018-07-21 16:21:13,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
