,tweets,features,sentiment
13,Declining Rupee How Risky Situation is this for MSMEs fdi SMEs GST GSTCouncil GSTCouncilMeet,"['declining', 'rupee', 'risky', 'situation', 'msmes', 'fdi', 'smes', 'gst', 'gstcouncil', 'gstcouncilmeet']",positive
14, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
15, GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
16,Good Results Money come to balance sheet rather then going as unaccounted cash Thanks to,"['results', 'money', 'balance', 'sheet', 'unaccounted', 'cash', 'thanks']",negative
17, GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
18,Council india Why can t,"['council', 'india']",positive
19, By cutting down the GST from 12 to 5 on these important items this initiative by Central Government once again win,"['cutting', 'gst', 'items', 'initiative', 'central', 'government', 'win']",neutral
20, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
21, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
22, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
23, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
24, GST rate cut impact Synthetic textiles to be 5 7 cheaper from August via NaMo App,"['gst', 'rate', 'cut', 'impact', 'synthetic', 'textiles', 'cheaper', 'august', 'via', 'namo', 'app']",neutral
25, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
26, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
27,GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
28, ml First you introduce mass indirect tax heavily skewed against economically deprived named GST Impose high tax on essential,"['ml', 'introduce', 'mass', 'indirect', 'tax', 'heavily', 'skewed', 'economically', 'deprived', 'named', 'gst', 'impose', 'tax', 'essential']",negative
29,GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
30,I congratulate ji in keeping GST so open ended and feedback sensitive This is by far the best polic,"['congratulate', 'ji', 'keeping', 'gst', 'feedback', 'sensitive', 'polic']",positive
31, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
32, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
33, The GSTCouncilMeet s removal of GST on SanitaryNapkins is an eyewash by where inputtaxcredits is denied 2,"['gstcouncilmeet', 'removal', 'gst', 'sanitarynapkins', 'eyewash', 'inputtaxcredits', 'denied']",negative
34, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
35,The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled un,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'un']",positive
36, jantv Better late than never SanitaryNapkins finally exempted from GST step in right direction,"['jantv', 'late', 'sanitarynapkins', 'finally', 'exempted', 'gst', 'step', 'direction']",positive
37, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
38, May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
39,Good to know but parts of it sounds like VAT days only Plus I really pity the IT vendor in GST The changes will,"['sounds', 'vat', 'days', 'plus', 'pity', 'vendor', 'gst', 'changes']",negative
40, Reduction in GST rates from 28 to 18 https,"['reduction', 'gst', 'rates', 'https']",negative
41,The government is expected to take a hit of Rs 15 000 crore after slashing GST rates on over 50 items spiking rev,"['government', 'expected', 'hit', 'rs', 'crore', 'slashing', 'gst', 'rates', 'items', 'spiking', 'rev']",negative
42, The GST Council has reduced the GST rate on lithium ion batteries for ElectricVehicles from 28 per cent to 18 per cent,"['gst', 'council', 'reduced', 'gst', 'rate', 'lithium', 'ion', 'batteries', 'electricvehicles', 'cent', 'cent']",negative
43, Reduction in GST rates from 28 to 18 https,"['reduction', 'gst', 'rates', 'https']",negative
44, Reduction in GST rates from 28 to 18 https,"['reduction', 'gst', 'rates', 'https']",negative
45, After empty boasts and endless PR even as the Govt scrambles to fix GST we are confronted with the monumental failure of,"['empty', 'boasts', 'endless', 'pr', 'govt', 'scrambles', 'fix', 'gst', 'confronted', 'monumental', 'failure']",negative
46, End of Day Wrap up Monday July 23 2018 GST GSTCouncil profit PiramalCapital Samhi SBI PNB LIC IT Atos Syntel,"['day', 'wrap', 'monday', 'july', 'gst', 'gstcouncil', 'profit', 'piramalcapital', 'samhi', 'sbi', 'pnb', 'lic', 'atos', 'syntel']",negative
47, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
48, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
49, Consumer durables and electronics makers expect a bumper festive period as GST rate cuts set to boost affordability bu,"['consumer', 'durables', 'electronics', 'makers', 'expect', 'bumper', 'festive', 'period', 'gst', 'rate', 'cuts', 'set', 'boost', 'affordability', 'bu']",negative
50, GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
51, When GST was implemented on 1st July 2017 there were 226 goods in 28 tax slab Today there are only 35 GSTCounc,"['gst', 'implemented', 'july', 'tax', 'slab', 'gstcounc']",negative
52, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
53,National Anti Profiteering Authority is set up to monitor if tax cuts are passed on to the consumers or not Testin,"['national', 'anti', 'profiteering', 'authority', 'set', 'monitor', 'tax', 'cuts', 'passed', 'consumers', 'testin']",positive
54,Dealer can not able to file GSTR4 2 taxpayer instead of already having composition permission though,"['dealer', 'able', 'file', 'gstr4', 'taxpayer', 'instead', 'composition', 'permission']",negative
55,Dealer can not able to file GSTR4 2 taxpayer instead of already having composition permission though griv,"['dealer', 'able', 'file', 'gstr4', 'taxpayer', 'instead', 'composition', 'permission', 'griv']",negative
56, Sanitary Napkins exempted from GST A great move much needed Thank you ji GSTCouncil GSTCouncilMeet,"['sanitary', 'napkins', 'exempted', 'gst', 'move', 'thank', 'ji', 'gstcouncil', 'gstcouncilmeet']",positive
57,Dealer can not able to file GSTR4 2 taxpayer instead of already having composition permission though griv,"['dealer', 'able', 'file', 'gstr4', 'taxpayer', 'instead', 'composition', 'permission', 'griv']",negative
58, Was invited today to Punjabi show Gallaan te Geet regarding One year GST Journey so far and future prospects,"['invited', 'punjabi', 'gallaan', 'te', 'geet', 'regarding', 'gst', 'journey', 'future', 'prospects']",positive
59, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
60, A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene,"['shoutout', 'amp', 'sensitive', 'towards', 'issues', 'related', 'women', 'health', 'amp', 'hygiene']",negative
61,FT Footwear Makers Divided On Passing GST Benefit To Consumers adeshgupta footwearnews,"['ft', 'footwear', 'makers', 'divided', 'passing', 'gst', 'benefit', 'consumers', 'adeshgupta', 'footwearnews']",negative
62, Decision to exempt sanitary napkins from GST was taken today at 28th GSTCouncilMeet This will help innumerable women a,"['decision', 'exempt', 'sanitary', 'napkins', 'gst', 'gstcouncilmeet', 'help', 'innumerable', 'women']",negative
63,Dealer can not able to file GSTR4 2 taxpayer instead of already having composition permission though,"['dealer', 'able', 'file', 'gstr4', 'taxpayer', 'instead', 'composition', 'permission']",negative
64, Odisha Exemption of GST on SanitaryNapkins will positively impact public health of future generations amp benefit Odisha s Kh,"['odisha', 'exemption', 'gst', 'sanitarynapkins', 'positively', 'impact', 'public', 'health', 'future', 'generations', 'amp', 'benefit', 'odisha', 'kh']",negative
65,Dealer can not able to file GSTR4 2 taxpayer instead of already having composition,"['dealer', 'able', 'file', 'gstr4', 'taxpayer', 'instead', 'composition']",negative
66, GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
67, After empty boasts and endless PR even as the Govt scrambles to fix GST we are confronted with the monumental failure of,"['empty', 'boasts', 'endless', 'pr', 'govt', 'scrambles', 'fix', 'gst', 'confronted', 'monumental', 'failure']",negative
68, GST on lithium ion batteries reduced to 18 percent from 28 percent earlier,"['gst', 'lithium', 'ion', 'batteries', 'reduced', 'percent', 'percent', 'earlier']",negative
69, May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
70, GoI Dealer can not able to file GSTR4 2 taxpayer instead of already havi,"['goi', 'dealer', 'able', 'file', 'gstr4', 'taxpayer', 'instead', 'havi']",negative
71, Election tilt GST Council s rush job angers some FMs of Opposition ruled states who called the process undemocratic unplea,"['election', 'tilt', 'gst', 'council', 'rush', 'job', 'angers', 'fms', 'opposition', 'ruled', 'called', 'process', 'undemocratic', 'unplea']",positive
72,GST on lithium ion batteries reduced to 18 percent from 28 percent earlier,"['gst', 'lithium', 'ion', 'batteries', 'reduced', 'percent', 'percent', 'earlier']",negative
73,NDA s economic policies have hit village economy our state never think about handloom we,"['nda', 'economic', 'policies', 'hit', 'village', 'economy', 'handloom']",positive
74, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
75, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
76,GoI Dealer can not able to file GSTR4 2 taxpayer instead of already h,"['goi', 'dealer', 'able', 'file', 'gstr4', 'taxpayer', 'instead']",negative
77, CII welcomes the landmark decisions taken by the Council at its 28th Meeting The decisions are in line with industry s,"['cii', 'welcomes', 'landmark', 'decisions', 'council', 'meeting', 'decisions', 'line', 'industry']",positive
78,GST rate cuts Discretionary spending likely to gather steam,"['gst', 'rate', 'cuts', 'discretionary', 'spending', 'gather', 'steam']",negative
79, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
80, MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores,"['mof', 'officials', 'finally', 'checkmated', 'gst', 'council', 'chaired', 'time', 'finance', 'minister', 'piyush', 'goyal', 'ignores']",positive
81, If slow n sure steps was the idea this certainly seems well done Govt getting a proper grip on GST If this,"['slow', 'steps', 'idea', 'govt', 'getting', 'proper', 'grip', 'gst']",positive
82, May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
83, Major achievements of GST Under reporting of turnover became ALMOST impossible leading 2 widening of tax base amp higher T,"['major', 'achievements', 'gst', 'reporting', 'turnover', 'impossible', 'leading', 'widening', 'tax', 'base', 'amp']",negative
84, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
85, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
86, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
87, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
88, Why no GST on sanitary napkins could actually make it costlier via,"['gst', 'sanitary', 'napkins', 'actually', 'costlier', 'via']",positive
89, After empty boasts and endless PR even as the Govt scrambles to fix GST we are confronted with the monumental failure of,"['empty', 'boasts', 'endless', 'pr', 'govt', 'scrambles', 'fix', 'gst', 'confronted', 'monumental', 'failure']",negative
90, A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene,"['shoutout', 'amp', 'sensitive', 'towards', 'issues', 'related', 'women', 'health', 'amp', 'hygiene']",negative
91,While GST Council s Tax Cuts Will Bring Cheer It Could Work Out to a Rs 15 000 Crore Revenue Hit,"['gst', 'council', 'tax', 'cuts', 'bring', 'cheer', 'rs', 'crore', 'revenue', 'hit']",positive
92, May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
93, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
94, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
95, GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
96, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
97,Those who are going gaga over no GST on sanitary napkin should read this article Council should amend this to be,"['gaga', 'gst', 'sanitary', 'napkin', 'read', 'article', 'council', 'amend']",positive
98, GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
99, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
100, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
101, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
102,BJPians are exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years i,"['bjpians', 'exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy']",positive
103,GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",negative
104, The GST council has abolished tax on sanitary napkins Thank you to the FM and the gst council Thank you to the women w,"['gst', 'council', 'abolished', 'tax', 'sanitary', 'napkins', 'thank', 'fm', 'gst', 'council', 'thank', 'women']",negative
105,BJPians are exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years i,"['bjpians', 'exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy']",positive
106, A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene,"['shoutout', 'amp', 'sensitive', 'towards', 'issues', 'related', 'women', 'health', 'amp', 'hygiene']",negative
107,BJPians are exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years in,"['bjpians', 'exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy']",positive
108, People Finally sanitary pads are exempt from GST Great step by govt This will make it affordable for the poors Me,"['people', 'finally', 'sanitary', 'pads', 'exempt', 'gst', 'step', 'govt', 'affordable', 'poors']",negative
109,BJP are exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years in T,"['bjp', 'exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy']",positive
110,You are exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years in,"['exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy']",positive
111, MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores,"['mof', 'officials', 'finally', 'checkmated', 'gst', 'council', 'chaired', 'time', 'finance', 'minister', 'piyush', 'goyal', 'ignores']",positive
112, People Finally sanitary pads are exempt from GST Great step by govt This will make it affordable for the poors Me,"['people', 'finally', 'sanitary', 'pads', 'exempt', 'gst', 'step', 'govt', 'affordable', 'poors']",negative
113,BJP totally exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years in Tihar Prades,"['bjp', 'totally', 'exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy', 'tihar', 'prades']",positive
114, GST Changes Simplified,"['gst', 'changes', 'simplified']",positive
115,You are exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years in Tiha,"['exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy', 'tiha']",positive
116,You are exposed whether illegal earning by Demo GST or by Bank chori Now enjoy next 10 years in Tihar,"['exposed', 'illegal', 'earning', 'demo', 'gst', 'bank', 'chori', 'enjoy', 'tihar']",positive
117, People Finally sanitary pads are exempt from GST Great step by govt This will make it affordable for the poors Me,"['people', 'finally', 'sanitary', 'pads', 'exempt', 'gst', 'step', 'govt', 'affordable', 'poors']",negative
118, Here is what brought tears of joy in AkshayKumar s eyes GSTCounc,"['brought', 'tears', 'joy', 'akshaykumar', 'eyes', 'gstcounc']",positive
119, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
120, GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
121, May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
122, Tax experts say exemption for sanitary napkins may not lead to lower prices as input tax credit will be denied In Ju,"['tax', 'experts', 'exemption', 'sanitary', 'napkins', 'lead', 'lower', 'prices', 'input', 'tax', 'credit', 'denied', 'ju']",negative
123, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
124,People Finally sanitary pads are exempt from GST Great step by govt This will make it affordable for the poor,"['people', 'finally', 'sanitary', 'pads', 'exempt', 'gst', 'step', 'govt', 'affordable', 'poor']",negative
125,GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
126,Finally GOVT Concluded GST from SanitaryNapkins Great move AccheDin,"['finally', 'govt', 'concluded', 'gst', 'sanitarynapkins', 'move', 'acchedin']",negative
127,Himachal Pradesh CM welcomes GST Council s decision to cut rate on 88 items simplify return filing,"['himachal', 'pradesh', 'cm', 'welcomes', 'gst', 'council', 'decision', 'cut', 'rate', 'items', 'simplify', 'return', 'filing']",negative
128,GST Council s decision was very fair and will ensure that both hoteliers and consumers have clarity on the tax t,"['gst', 'council', 'decision', 'fair', 'ensure', 'hoteliers', 'consumers', 'clarity', 'tax']",negative
129, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
130, WATCH MP Tiruchi Siva of the DMK suggests removal of GST for sanitary napkins Rajya Sabha appreciates the suggestion March,"['watch', 'mp', 'tiruchi', 'siva', 'dmk', 'suggests', 'removal', 'gst', 'sanitary', 'napkins', 'rajya', 'sabha', 'appreciates', 'suggestion', 'march']",positive
131, WATCH MP Tiruchi Siva of the DMK suggests removal of GST for sanitary napkins Rajya Sabha appreciates the suggestion March,"['watch', 'mp', 'tiruchi', 'siva', 'dmk', 'suggests', 'removal', 'gst', 'sanitary', 'napkins', 'rajya', 'sabha', 'appreciates', 'suggestion', 'march']",positive
132, The Good amp Simple Tax GST is now more farmer friendly Welcome the decision to reduce tax rates on Biofuel pellets Etha,"['amp', 'simple', 'tax', 'gst', 'farmer', 'friendly', 'welcome', 'decision', 'reduce', 'tax', 'rates', 'biofuel', 'pellets', 'etha']",negative
133, A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene,"['shoutout', 'amp', 'sensitive', 'towards', 'issues', 'related', 'women', 'health', 'amp', 'hygiene']",negative
134,Keep GST rate on lithium ion battery same as electric vehicles SMEV ElectricVehicles ElectricVehicle,"['gst', 'rate', 'lithium', 'ion', 'battery', 'electric', 'vehicles', 'smev', 'electricvehicles', 'electricvehicle']",negative
135,Keep GST rate on lithium ion battery same as electric vehicles SMEV,"['gst', 'rate', 'lithium', 'ion', 'battery', 'electric', 'vehicles', 'smev']",negative
136, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
137, Why no GST on sanitary napkins could actually make it costlier via,"['gst', 'sanitary', 'napkins', 'actually', 'costlier', 'via']",positive
138, The GST council has abolished tax on sanitary napkins Thank you to the FM and the gst council Thank you to the women w,"['gst', 'council', 'abolished', 'tax', 'sanitary', 'napkins', 'thank', 'fm', 'gst', 'council', 'thank', 'women']",negative
139,Govt open to further review of GST rates Rajnath,"['govt', 'review', 'gst', 'rates', 'rajnath']",negative
140, After empty boasts and endless PR even as the Govt scrambles to fix GST we are confronted with the monumental failure of,"['empty', 'boasts', 'endless', 'pr', 'govt', 'scrambles', 'fix', 'gst', 'confronted', 'monumental', 'failure']",negative
141, The Government finally realizes that Sanitary Napkins are not luxury for women Sanitary Napkins are exempted from GST a,"['government', 'finally', 'realizes', 'sanitary', 'napkins', 'luxury', 'women', 'sanitary', 'napkins', 'exempted', 'gst']",positive
142, A wonderful initiative towards women empowerment and also ensuring their health amp hygiene A big thank you to Shri,"['wonderful', 'initiative', 'towards', 'women', 'empowerment', 'ensuring', 'health', 'amp', 'hygiene', 'thank', 'shri']",negative
143, The Good amp Simple Tax GST is now more farmer friendly Welcome the decision to reduce tax rates on Biofuel pellets Etha,"['amp', 'simple', 'tax', 'gst', 'farmer', 'friendly', 'welcome', 'decision', 'reduce', 'tax', 'rates', 'biofuel', 'pellets', 'etha']",negative
