tweets,features,sentiment
"More verbal sparring in Parliament, this time over #GST
https://t.co/DwkyheRPpj","['verbal', 'sparring', 'parliament', 'time', 'gst']",negative
"RT @ibrahimsaninet: This is my conversation with @Khairykj on his thoughts on retaining #GST, #Vote18, and #ShadowCabinet.

Watch it at htt…","['rt', 'conversation', 'retaining', 'gst', 'vote18', 'shadowcabinet', 'watch']",neutral
"#Google brings G Suite Bundle for you, in just 1200 INR/year. Interested to get one? Call now  9768005251 to know m… https://t.co/5exbHJE5ek","['google', 'brings', 'suite', 'bundle', 'call']",neutral
"These 4 New #GST Bills You Must Know 
https://t.co/sSAuwk9O2D","['gst', 'bills']",negative
"RT @anushka1991: @IndiaCultureLab @chhabs Absolutely! #RangDeBasanti directly led to actions like a #candlelightmarch for #JessicaLall, whi…","['rt', 'rangdebasanti', 'directly', 'led', 'actions', 'candlelightmarch', 'jessicalall']",neutral
"RT @anushka1991: @IndiaCultureLab @chhabs Absolutely! #RangDeBasanti directly led to actions like a #candlelightmarch for #JessicaLall, whi…","['rt', 'rangdebasanti', 'directly', 'led', 'actions', 'candlelightmarch', 'jessicalall']",neutral
@IndiaCultureLab @chhabs Absolutely! #RangDeBasanti directly led to actions like a #candlelightmarch for… https://t.co/gsL2cqeE0B,"['rangdebasanti', 'directly', 'led', 'actions', 'candlelightmarch']",positive
Connect #withDIA on #LinkedIn today and stay updated on all #GST matters always- https://t.co/nAoycTu0ZY #IndiaGST… https://t.co/Zx1C13QRf7,"['connect', 'withdia', 'linkedin', 'stay', 'updated', 'gst', 'matters']",positive
"You will understand why SAP HANA is a fundamentally different database engine.
https://t.co/J5MHw326bb… https://t.co/uuxd01k7Tl","['understand', 'sap', 'hana', 'fundamentally', 'database', 'engine']",negative
The international monetary fund has regarded the GST of India as the significant tax reform and also considered it… https://t.co/mMNOukNUs6,"['international', 'monetary', 'fund', 'regarded', 'gst', 'india', 'significant', 'tax', 'reform', 'considered']",positive
"RT @fmtoday: RM18 bil in GST refunds missing, says finance minister @guanenglim #GST #DewanRakyat #MalaysiaBaharu https://t.co/eu3141hqGQ","['rt', 'rm18', 'bil', 'gst', 'refunds', 'missing', 'finance', 'minister', 'gst', 'dewanrakyat', 'malaysiabaharu']",neutral
"RT @fmtoday: RM18 bil in GST refunds missing, says finance minister @guanenglim #GST #DewanRakyat #MalaysiaBaharu https://t.co/eu3141hqGQ","['rt', 'rm18', 'bil', 'gst', 'refunds', 'missing', 'finance', 'minister', 'gst', 'dewanrakyat', 'malaysiabaharu']",neutral
"Get Free Demo on SAP HANA &amp; S/4 HANA Training interested candidates please register:
https://t.co/Rgljkhs9de… https://t.co/fsFfdbKeCa","['free', 'demo', 'sap', 'hana', 'hana', 'training', 'candidates', 'please']",neutral
"RT @fmtoday: SST will reduce prices of goods, says Tony Pua @tonypua #SST #GST #tax #price #consumer #MalaysiaBaharu

https://t.co/TibaJSPd…","['rt', 'sst', 'reduce', 'prices', 'tony', 'pua', 'sst', 'gst', 'tax', 'price', 'consumer', 'malaysiabaharu']",neutral
"RT @tallysolutions: Centre extends suspension of reverse charge mechanism by one year - The Hindu BusinessLine - https://t.co/FVlmmSUz07
#G…","['rt', 'centre', 'extends', 'suspension', 'reverse', 'charge', 'mechanism', 'hindu', 'businessline']",neutral
"RT @MissDelhi_: Anti profiteering body turns heat on e-tailers

Audit of all e-commerce firms sought🙌 #GST #GSTCouncilMeet #gstfornewindia…","['rt', 'anti', 'profiteering', 'body', 'heat', 'audit', 'firms', 'gst', 'gstcouncilmeet']",neutral
"RT @MissDelhi_: Anti profiteering body turns heat on e-tailers

Audit of all e-commerce firms sought🙌 #GST #GSTCouncilMeet #gstfornewindia…","['rt', 'anti', 'profiteering', 'body', 'heat', 'audit', 'firms', 'gst', 'gstcouncilmeet']",neutral
"#GST Council meet: #MSME in focus; cashback for digitalisation on pilot basis
https://t.co/R7XUKMBfeK","['gst', 'council', 'msme', 'cashback', 'digitalisation', 'pilot', 'basis']",negative
"RT @MissDelhi_: Anti profiteering body turns heat on e-tailers

Audit of all e-commerce firms sought🙌 #GST #GSTCouncilMeet #gstfornewindia…","['rt', 'anti', 'profiteering', 'body', 'heat', 'audit', 'firms', 'gst', 'gstcouncilmeet']",neutral
"Anti profiteering body turns heat on e-tailers

Audit of all e-commerce firms sought🙌 #GST #GSTCouncilMeet… https://t.co/BBhmm0QCSQ","['anti', 'profiteering', 'body', 'heat', 'audit', 'firms', 'gst']",negative
RT @SurabhiUpadhyay: For me this was the interview of the day - do check out if you haven't already. Mr Dasri is SO BULLISH! Says CV growth…,"['rt', 'interview', 'day', 'check', 'dasri', 'cv']",neutral
"Last 3 days to file GSTR-1 
#GST #GSTR1 https://t.co/KCpAFfv0Tn","['days', 'file', 'gst', 'gstr1']",negative
The international monetary fund has regarded the goods and services tax of India as the significant tax reform.… https://t.co/bA0qHqtM25,"['international', 'monetary', 'fund', 'regarded', 'services', 'tax', 'india', 'significant', 'tax']",positive
For me this was the interview of the day - do check out if you haven't already. Mr Dasri is SO BULLISH! Says CV gro… https://t.co/N6syD1uBpY,"['interview', 'day', 'check', 'dasri', 'cv']",negative
"✨Tonight✨
The return of House Flipper - I’ll be streaming at 8pm (BST)! If you’re free pop by and chill, chat and h… https://t.co/sGaqFNQHCL","['return', 'house', 'flipper', 'streaming', 'free', 'pop', 'chill', 'chat']",negative
"Don’t be over excited on SST said Ahmad Maslan

https://t.co/X0imiNfhpY

#MalaysiaGazette #SST #GST @ahmadmaslan","['excited', 'sst', 'ahmad', 'maslan', 'malaysiagazette', 'sst', 'gst']",positive
"Rs 6416 Cr Paid By 2 Lakh New Taxpayers; #GST Will Be Simplified For #SMEs, Small… https://t.co/uiuSlyn4sN","['rs', 'cr', 'paid', 'lakh', 'gst', 'simplified', 'smes']",negative
RT @firstpost: The #IMF said #GST took the important step of unifying and harmonising numerous indirect taxes across all states of the fede…,"['rt', 'imf', 'gst', 'step', 'unifying', 'harmonising', 'numerous', 'indirect', 'taxes']",neutral
RT @cleartax_in: ClearTax GST helped 500+ large enterprise and lakhs of small businesses with #GST. One major features that our clients lov…,"['rt', 'cleartax', 'gst', 'helped', 'enterprise', 'lakhs', 'businesses', 'gst', 'major', 'features', 'clients']",neutral
RT @firstpost: The #IMF said #GST took the important step of unifying and harmonising numerous indirect taxes across all states of the fede…,"['rt', 'imf', 'gst', 'step', 'unifying', 'harmonising', 'numerous', 'indirect', 'taxes']",neutral
A good summary of what is in the draft Bill by 🇹🇩#IndirectTax Team. #RealEstate #Lease #VAT #GST #TAX https://t.co/bdBe9vrWCS,"['summary', 'draft', 'bill', 'team', 'realestate', 'lease', 'vat', 'gst', 'tax']",negative
"RT @fmtoday: RM18 bil in GST refunds missing, says finance minister @guanenglim #GST #DewanRakyat #MalaysiaBaharu https://t.co/eu3141hqGQ","['rt', 'rm18', 'bil', 'gst', 'refunds', 'missing', 'finance', 'minister', 'gst', 'dewanrakyat', 'malaysiabaharu']",neutral
Good news for #BHIM &amp; #RuPay Card users! #GST Council approves 20% cashback on total tax amount. #digitalpayments https://t.co/iN2rwXsjyw,"['news', 'bhim', 'rupay', 'card', 'gst', 'council', 'approves', 'cashback', 'total', 'tax', 'amount', 'digitalpayments']",negative
"RT @fmtoday: RM18 bil in GST refunds missing, says finance minister @guanenglim #GST #DewanRakyat #MalaysiaBaharu https://t.co/eu3141hqGQ","['rt', 'rm18', 'bil', 'gst', 'refunds', 'missing', 'finance', 'minister', 'gst', 'dewanrakyat', 'malaysiabaharu']",neutral
"RM18 bil in GST refunds missing, says finance minister @guanenglim #GST #DewanRakyat #MalaysiaBaharu https://t.co/eu3141hqGQ","['rm18', 'bil', 'gst', 'refunds', 'missing', 'finance', 'minister', 'gst', 'dewanrakyat', 'malaysiabaharu']",positive
"Govt. has introduced 4 GST bills in Lok Sabha on August 8, 2018.

These bills propose the amendments in the provisi… https://t.co/oA7ET3c1K5","['govt', 'introduced', 'gst', 'bills', 'lok', 'sabha', 'august', 'bills', 'propose', 'amendments']",negative
RT @cleartax_in: ClearTax GST helped 500+ large enterprise and lakhs of small businesses with #GST. One major features that our clients lov…,"['rt', 'cleartax', 'gst', 'helped', 'enterprise', 'lakhs', 'businesses', 'gst', 'major', 'features', 'clients']",neutral
#Customized #Software #Solutions designed and developed by RKV IT Solutions!! Contact Us to get your #Business #GST… https://t.co/QTSgNWTAjg,"['customized', 'software', 'solutions', 'designed', 'developed', 'rkv', 'contact', 'business']",neutral
"Is stamp duty a hurdle for home buyers?
As many as 16 types of taxes got subsumed in the Goods and Services Tax (GS… https://t.co/rJnxszkvp0","['stamp', 'duty', 'hurdle', 'home', 'buyers', 'types', 'taxes', 'subsumed', 'services', 'tax']",positive
##GLCA member @Bert_Gevers and team have summarized the main principles of the new #VAT regime for immovable lease… https://t.co/XrflQT9Bxi,"['team', 'summarized', 'main', 'principles', 'vat', 'regime', 'immovable']",negative
RT @firstpost: The #IMF said #GST took the important step of unifying and harmonising numerous indirect taxes across all states of the fede…,"['rt', 'imf', 'gst', 'step', 'unifying', 'harmonising', 'numerous', 'indirect', 'taxes']",neutral
"#GST council forms committee to resolve #MSMEs issues
https://t.co/PKbMkJ3Rf9","['gst', 'council', 'forms', 'committee', 'resolve', 'msmes', 'issues']",positive
"#NVRaman – Partner, Indirect Tax, speaks on the implementation issues &amp; challenges of #GST at a session organised b… https://t.co/5hvjx3fdic","['nvraman', 'partner', 'indirect', 'tax', 'speaks', 'implementation', 'issues', 'challenges', 'gst', 'session', 'organised']",positive
The #GST amendment bills are primarily aimed at helping the #MSME sector and small traders &gt;&gt;https://t.co/8K7F9nLZsJ,"['gst', 'amendment', 'bills', 'primarily', 'aimed', 'helping', 'msme', 'sector', 'traders']",positive
RT @firstpost: The #IMF said #GST took the important step of unifying and harmonising numerous indirect taxes across all states of the fede…,"['rt', 'imf', 'gst', 'step', 'unifying', 'harmonising', 'numerous', 'indirect', 'taxes']",neutral
The #IMF said #GST took the important step of unifying and harmonising numerous indirect taxes across all states of… https://t.co/BXmz7UWpHf,"['imf', 'gst', 'step', 'unifying', 'harmonising', 'numerous', 'indirect', 'taxes']",negative
RT @viveckshettyy1: #AsianAge reportage on the #GST conference at the #AjeenkyaDYPatil #University in #Pune . Some of the best experts enli…,"['rt', 'asianage', 'reportage', 'gst', 'conference', 'ajeenkyadypatil', 'university', 'pune', 'experts']",neutral
The International Monetary Fund (#IMF) describes the Goods and Services Tax (#GST) as a 'milestone reform' in… https://t.co/Mhz0b9gQXj,"['international', 'monetary', 'fund', 'describes', 'services', 'tax', 'milestone', 'reform']",positive
"Duty on Textile Import to encourage Local business by central Govt
#GST #importduty #centralgovt
#buydesi @PMOIndia… https://t.co/Gwk4YgKR5g","['duty', 'textile', 'import', 'encourage', 'local', 'business', 'central', 'govt', 'gst', 'importduty', 'centralgovt', 'buydesi']",positive
"Bills to simplify #GST forms, hike composition limit in Lok Sabha https://t.co/uSTkqgRfOV","['bills', 'simplify', 'gst', 'forms', 'hike', 'composition', 'limit', 'lok', 'sabha']",positive
"RT @SagInfoTech: The Delhi High Court has asked to withdraw the petition, which was filed by Meerut Publishers Association and Institute of…","['rt', 'delhi', 'court', 'withdraw', 'petition', 'filed', 'meerut', 'publishers', 'association', 'institute']",neutral
"RT @gchikermane: Problems with India's #GST according to IMF:

Legislative complexity: exclusions, exemptions, deductions, rate differences…","['rt', 'gst', 'according', 'legislative', 'exclusions', 'exemptions', 'deductions', 'rate']",neutral
"THE UNION TERRITORY GOODS AND SERVICES TAX (AMENDMENT) BILL, 2018: Goods and Services Tax - #GST - Dated - 8-8-2018… https://t.co/zv9IMnSeLN","['union', 'territory', 'services', 'tax', 'bill', 'services', 'tax', 'gst', 'dated']",negative
"#GST concession but only halfway
https://t.co/E2DOgEhSL0","['gst', 'concession', 'halfway']",negative
"RT @IIFLMarkets: Performance of Nifty Realty Index post demonetization. The Nifty realty index jumped ~112% during the period November 09,…","['rt', 'performance', 'nifty', 'realty', 'index', 'post', 'demonetization', 'nifty', 'realty', 'index', 'jumped', 'period', 'november']",neutral
Performance of Nifty Realty Index post demonetization. The Nifty realty index jumped ~112% during the period Novemb… https://t.co/azLlkPQBdX,"['performance', 'nifty', 'realty', 'index', 'post', 'demonetization', 'nifty', 'realty', 'index', 'jumped', 'period']",positive
"RT @spmrfoundation: Good news for BHIM, Rupay users! GST Council approves 20% cashback on total tax amount
#GST
https://t.co/TOpRPmiI7d","['rt', 'news', 'bhim', 'rupay', 'gst', 'council', 'approves', 'cashback', 'total', 'tax', 'amount', 'gst']",neutral
"THE GOODS AND SERVICES TAX (COMPENSATION TO STATES) AMENDMENT BILL, 2018: Goods and Services Tax - #GST - Dated - 8… https://t.co/5RvI8pbsSR","['services', 'tax', 'amendment', 'bill', 'services', 'tax', 'gst', 'dated']",negative
". @ficci_india  welcomes setting up of GST council panel on MSMEs - https://t.co/A3GEgL88ki
#GST
@rasheshshah","['welcomes', 'setting', 'gst', 'council', 'panel', 'msmes', 'gst']",positive
"THE INTEGRATED GOODS AND SERVICES TAX (AMENDMENT) BILL, 2018: Goods and Services Tax - #GST - Dated - 8-8-2018 - AS… https://t.co/hSSfssfaRh","['integrated', 'services', 'tax', 'bill', 'services', 'tax', 'gst', 'dated']",neutral
"#IMF praising #GST ,
Now we know why #pappu is unable to understand GST.

https://t.co/PlfoSh4iHU","['imf', 'praising', 'gst', 'pappu', 'unable', 'understand', 'gst']",negative
"GSTR 6 filing due date has been extended to 30th September 2018. 
Read Notification : https://t.co/g9FHuZcPUQ
#GST… https://t.co/XCoq8rxEG4","['gstr', 'filing', 'due', 'date', 'extended', 'september', 'read', 'notification']",negative
"RT @fmtoday: Guan Eng accuses BN of 'robbing' GST refunds, says account empty @guanenglim @barisanasional #GST #MalaysiaBaharu  https://t.c…","['rt', 'guan', 'eng', 'accuses', 'bn', 'robbing', 'gst', 'refunds', 'account', 'empty', 'gst', 'malaysiabaharu']",neutral
Give your #organisation a portal to capture all your #GST content - get #withDIA's #Enterprise Desk and create a un… https://t.co/zyPmK9Ptzt,"['organisation', 'portal', 'capture', 'gst', 'content', 'enterprise', 'desk', 'create']",negative
"#GSTCouncil #gstfornewindia 
Total #GST refunds processed during third Refund Fortnight came to;","['gstcouncil', 'gstfornewindia', 'total', 'gst', 'refunds', 'processed', 'third', 'refund', 'fortnight']",negative
"RT @rckhuntia: When the fundamental design of a structure is itself flawed, no amount of tinkering ever fixes it. The same goes for policy,…","['rt', 'fundamental', 'design', 'structure', 'flawed', 'amount', 'tinkering', 'fixes', 'goes']",neutral
"Have a look How Big Bazaar, Bhubaneswar collecting CGST and SGST on Discount item from Customer in Broad… https://t.co/QuOk6nU127","['look', 'bazaar', 'bhubaneswar', 'collecting', 'cgst', 'sgst', 'discount', 'item', 'customer']",negative
"Consider simpler #GST rate structure to avoid low compliance: #IMF to #India

https://t.co/mSedcDuHBv","['consider', 'simpler', 'gst', 'rate', 'structure', 'avoid', 'low', 'imf', 'india']",negative
"Are you looking for best #GST Consultants in hyderabad then try Akshara Finserv,we are having vast experience in al… https://t.co/qaQU25wsyC","['looking', 'gst', 'consultants', 'hyderabad', 'try', 'akshara', 'vast', 'experience']",positive
RT @manishkp243: #IMF praises the #GST biggest tax reform done by PM @narendramodi Govt fr #NewIndia #TransformingIndia @AmitShah @sambitsw…,"['rt', 'imf', 'praises', 'gst', 'biggest', 'tax', 'reform', 'pm', 'govt', 'fr', 'newindia', 'transformingindia']",neutral
The International Monetary Fund (#IMF) describes the Goods and Services Tax (#GST) as a 'milestone reform' in… https://t.co/iNMpULDBcQ,"['international', 'monetary', 'fund', 'describes', 'services', 'tax', 'milestone', 'reform']",positive
RT @capitalpostnews: Finance Minister @PiyushGoyal chairing #GST Council meeting in New Delhi today,"['rt', 'finance', 'minister', 'chairing', 'gst', 'council', 'meeting', 'delhi']",neutral
"THE CENTRAL GOODS AND SERVICES TAX (AMENDMENT) BILL, 2018 (#GST Amendment Bill, 2018) as introduced in the Lok Sabh… https://t.co/G3m6MkRm8V","['central', 'services', 'tax', 'bill', 'amendment', 'bill', 'introduced', 'lok']",neutral
Dear world renowned economists! Dump your theories and analyses post  #DeMonetization and #GST implementation in tr… https://t.co/PsxJ240KCv,"['dear', 'world', 'renowned', 'dump', 'theories', 'analyses', 'post', 'demonetization', 'gst', 'implementation']",neutral
"#Govt introduces 4 #GST #amendment bills to help #MSMEs
#MyMSME @FinMinIndia @minmsme #GSTAmendmentBills… https://t.co/FA8Bhu7Vux","['govt', 'introduces', 'gst', 'amendment', 'bills', 'help', 'msmes', 'mymsme']",positive
Taxpayer's guide on the procedure to search the details of a taxpayer registered under GST without logging in to th… https://t.co/kyT2HmTgvM,"['guide', 'procedure', 'search', 'details', 'taxpayer', 'registered', 'gst', 'logging']",neutral
RT @capitalpostnews: Finance Minister @PiyushGoyal chairing #GST Council meeting in New Delhi today,"['rt', 'finance', 'minister', 'chairing', 'gst', 'council', 'meeting', 'delhi']",neutral
RT @icsi_cs: #GST-Educational Series @csmakarand @ppchaudharyMoS  @arunjaitley @FinMinIndia https://t.co/sBA3oDHFvv,"['rt', 'series']",negative
#IMF praises the #GST biggest tax reform done by PM @narendramodi Govt fr #NewIndia #TransformingIndia @AmitShah… https://t.co/v9XXCT2r5j,"['imf', 'praises', 'gst', 'biggest', 'tax', 'reform', 'pm', 'govt', 'fr', 'newindia', 'transformingindia']",negative
"RT @cbic_india: Paint Yourself in the colours of Freedom.

Government reduces GST Rates from 28% to 18% on Paints &amp; Varnishes.

#GST #gstco…","['rt', 'paint', 'yourself', 'colours', 'freedom', 'government', 'reduces', 'gst', 'rates', 'paints', 'varnishes', 'gst']",neutral
"WE ARE EXCITED TO INTRODUCE QUANTO.
 #incometax #RetailConsulting #BusinessGrowth #ProfitGrowth #GST #IncomeTax… https://t.co/GAB4SdaVjV","['excited', 'introduce', 'quanto', 'incometax', 'retailconsulting', 'businessgrowth', 'profitgrowth', 'gst']",positive
"RT @cbic_india: Reduced GST Rates: Handbags, Cosmetics, Dryers and Perfumes etc.
Bringing joy and color in Women's life.

#GST #GSTCouncilM…","['rt', 'reduced', 'gst', 'handbags', 'cosmetics', 'dryers', 'perfumes', 'etc', 'bringing', 'joy', 'color', 'life', 'gst']",positive
"RT @gsthelpline: The commercial tax department today freed transportation of goods pertaining to job work.
#GST #gstcouncil #gstcouncilmeet","['rt', 'commercial', 'tax', 'department', 'freed', 'transportation', 'pertaining', 'job', 'gst', 'gstcouncil', 'gstcouncilmeet']",neutral
RT @icsi_cs: #GST-Educational Series @csmakarand @ppchaudharyMoS  @arunjaitley @FinMinIndia https://t.co/sBA3oDHFvv,"['rt', 'series']",negative
"THE CENTRAL GOODS AND SERVICES TAX (AMENDMENT) BILL, 2018: Goods and Services Tax - #GST - Dated - 8-8-2018 - As IN… https://t.co/2CcNluufNU","['central', 'services', 'tax', 'bill', 'services', 'tax', 'gst', 'dated']",negative
"Tailwinds for Indian Rupee post #MT (#Demonetization) and #GST should have lead to a strong stable rupee 

Destruct… https://t.co/Ou4pgLzbW4","['tailwinds', 'indian', 'rupee', 'post', 'mt', 'gst', 'lead', 'strong', 'stable', 'rupee']",positive
"Are you aware of the new amendments to the GST legislation, regarding the importation of goods?

Find out more here… https://t.co/IruFAxfzA1","['aware', 'amendments', 'gst', 'legislation', 'regarding', 'importation']",positive
@AjayKushwaha_ @dineshjk @nanditathhakur @BJP4India @ivishalthacker @BJP4Gujarat @narendramodi @CMOGuj @PMOIndia… https://t.co/4ADRauoc4H,[],negative
"RT @BloombergQuint: Government introduces four bills to amend the #GST laws.
https://t.co/HDaGLc0BkE","['rt', 'government', 'introduces', 'bills', 'amend', 'gst', 'laws']",neutral
RT @GujunRupsas: @someshjha7 @RURALINDIA #Greek Nightmare for any Gov of India to provide for such a huge shortfall from existing resources…,"['rt', 'greek', 'nightmare', 'gov', 'india', 'provide', 'huge', 'shortfall', 'existing']",neutral
"RT @fmtoday: Threshold for annual sales tax to be raised to RM500,000 under SST @guanenglim #GST #SST #tax #MalaysiaBaharu https://t.co/1Zz…","['rt', 'threshold', 'annual', 'sales', 'tax', 'raised', 'sst', 'gst', 'sst', 'tax', 'malaysiabaharu']",neutral
"Government introduces four bills to amend the #GST laws.
https://t.co/HDaGLc0BkE","['government', 'introduces', 'bills', 'amend', 'gst', 'laws']",positive
"RT @gopositivenews: #GST Council Meet: The government will offer incentives on digital payments in the country, TV news channels reported q…","['rt', 'gst', 'council', 'government', 'offer', 'incentives', 'digital', 'payments', 'country', 'tv', 'news', 'channels', 'reported']",neutral
"RT @tallysolutions: Centre extends suspension of reverse charge mechanism by one year - The Hindu BusinessLine - https://t.co/FVlmmSUz07
#G…","['rt', 'centre', 'extends', 'suspension', 'reverse', 'charge', 'mechanism', 'hindu', 'businessline']",neutral
"Retailers hoping for a rewarding #Onam this year.

#AjaySeth #AngelAgenciesAndHomeCareGroup #AswaniLachmandasGroup… https://t.co/XBsyz0qL5v","['retailers', 'hoping', 'rewarding', 'onam', 'ajayseth', 'angelagenciesandhomecaregroup']",positive
@Airtel_Presence  why u dont give free MCA  as provide by  @reliancejio to postpaid customer. @airtelindia  is very… https://t.co/U9xImPyk9S,"['dont', 'free', 'mca', 'provide', 'postpaid', 'customer']",negative
"#Modigovt introduces four #Bills in the #LokSabha to simplify #GST returns

https://t.co/9guGIZZECV","['modigovt', 'introduces', 'bills', 'loksabha', 'simplify', 'gst', 'returns']",positive
"RT @gchikermane: Problems with India's #GST according to IMF:

Legislative complexity: exclusions, exemptions, deductions, rate differences…","['rt', 'gst', 'according', 'legislative', 'exclusions', 'exemptions', 'deductions', 'rate']",neutral
PwC’s GST Compliance Solution lets you reconcile with vendors seamlessly on a single platform. Uncomplicate your… https://t.co/3mCDab478H,"['gst', 'compliance', 'solution', 'reconcile', 'vendors', 'seamlessly', 'single', 'platform', 'uncomplicate']",neutral
RT @firstpost: The threshold for composition scheme is being raised from Rs 1 crore to Rs 1.5 crore and reverse charge mechanism has alread…,"['rt', 'threshold', 'composition', 'scheme', 'raised', 'rs', 'crore', 'rs', 'crore', 'reverse', 'charge', 'mechanism']",neutral
"RT @gopositivenews: #GST Council Meet: The government will offer incentives on digital payments in the country, TV news channels reported q…","['rt', 'gst', 'council', 'government', 'offer', 'incentives', 'digital', 'payments', 'country', 'tv', 'news', 'channels', 'reported']",neutral
"#Tally #ERP 9  #Course with #GST - #Tally #Training
Who Can Join #Tally #ERP 9 Course with #GST? Anyone :- who want… https://t.co/nNKk6qTjLd","['tally', 'erp', 'course', 'gst', 'tally', 'training', 'join', 'tally', 'erp', 'course', 'gst']",neutral
#MCA Notifies eForm DIR-3 KYC. #KYC is required to be updated for every individual holding DIN. Hurry. 31st August… https://t.co/pVz5muoHmQ,"['mca', 'notifies', 'eform', 'kyc', 'kyc', 'required', 'updated', 'individual', 'holding', 'din', 'hurry']",positive
RT @capitalpostnews: Finance Minister @PiyushGoyal chairing #GST Council meeting in New Delhi today,"['rt', 'finance', 'minister', 'chairing', 'gst', 'council', 'meeting', 'delhi']",neutral
"Make your #GST #reconciliation process simpler using #ricagoGST Solution
To Know more: https://t.co/MQUEeohUNy","['gst', 'reconciliation', 'process', 'simpler', 'using', 'ricagogst', 'solution']",negative
Required #CA ? Get more than 17000 CA firms in India &amp; choose best by comparing 2 #CAfirms in your city or near to… https://t.co/rLCRGEmfEc,"['required', 'ca', 'ca', 'firms', 'india', 'choose', 'comparing', 'cafirms', 'city', 'near']",positive
RT @firstpost: The threshold for composition scheme is being raised from Rs 1 crore to Rs 1.5 crore and reverse charge mechanism has alread…,"['rt', 'threshold', 'composition', 'scheme', 'raised', 'rs', 'crore', 'rs', 'crore', 'reverse', 'charge', 'mechanism']",neutral
"RT @gchikermane: Problems with India's #GST according to IMF:

Legislative complexity: exclusions, exemptions, deductions, rate differences…","['rt', 'gst', 'according', 'legislative', 'exclusions', 'exemptions', 'deductions', 'rate']",neutral
"RT @gchikermane: Problems with India's #GST according to IMF:

Legislative complexity: exclusions, exemptions, deductions, rate differences…","['rt', 'gst', 'according', 'legislative', 'exclusions', 'exemptions', 'deductions', 'rate']",neutral
The threshold for composition scheme is being raised from Rs 1 crore to Rs 1.5 crore and reverse charge mechanism h… https://t.co/Jtl0dWtKwQ,"['threshold', 'composition', 'scheme', 'raised', 'rs', 'crore', 'rs', 'crore', 'reverse', 'charge', 'mechanism']",negative
A quick glance on major #GST changes that is redefining Indian Economy gradually. Check out this study on the recen… https://t.co/wPafPClY9H,"['quick', 'glance', 'major', 'gst', 'changes', 'redefining', 'indian', 'economy', 'gradually', 'check', 'study']",positive
What are the impacts of GST is warehousing? Share your views in the discussion here https://t.co/a0fBMVD3xQ… https://t.co/MJVJ2RWqmO,"['impacts', 'gst', 'warehousing', 'share', 'views', 'discussion']",positive
