tweets,features,sentiment
RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…,"['fight', 'majority', 'morality', 'provisions', 'act', 'promises', 'people', 'andhra', 'pradesh']",negative
"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…","['thank', 'national', 'regional', 'parties', 'supported', 'fight', 'justice', 'inspite', 'political']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
"RT @madweasle: @PeterStefanovi2 Cold, calculated destruction of the NHS by a self-serving government who many voters unbelievably still sup…","['cold', 'calculated', 'destruction', 'nhs', 'government', 'voters', 'unbelievably']",negative
RT @tdptrending: #NoConfidenceMotion #APDemandsJustice We demand justice for AP. https://t.co/OtmMTl7Tah,"['noconfidencemotion', 'apdemandsjustice', 'demand', 'justice', 'ap']",positive
RT @BVJNReddy: @RamMNK @JayGalla We are with you in fighting for our rights. Please go ahead to question the Center on the false promises m…,"['fighting', 'rights', 'please', 'ahead', 'question', 'center', 'false', 'promises']",negative
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
RT @ShanMehra2017: @sanjeevmanan19 @RahulGandhi @VirenderjitSin2 @Mandeep31439589 @SimmiAhuja_ @INCGhogha @Tharoorian_INC @Bheemarmy5 @lets…,[],negative
"RT @exmlarsnr: Tried hard to focus on Modi Speech and listen, failed to understand. Clearly he has lost track, speaking irrelevant, out of…","['tried', 'hard', 'focus', 'modi', 'speech', 'listen', 'failed', 'understand', 'lost', 'track', 'speaking', 'irrelevant']",negative
RT @exmlarsnr: Issues Rahul Gandhi raised in his speech- -Rafael Deal -Low Employment Rate -Doklam Standoff -Modi's China visit -Crony capi…,"['issues', 'rahul', 'gandhi', 'raised', 'deal', 'employment', 'rate', 'standoff', 'china', 'visit']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
RT @bishnoikuldeep: Spellbinding speech by @RahulGandhi during the #NoConfidenceMotion. Strong reality check for the govt and it’s false pr…,"['spellbinding', 'speech', 'noconfidencemotion', 'strong', 'reality', 'check', 'govt', 'false']",positive
RT @iDesiDevil: How I feel when I see a hot girl walking by. #NoConfidenceMotion https://t.co/FIlAlHLsO7,"['feel', 'hot', 'girl', 'walking', 'noconfidencemotion']",negative
"RT @Rahul____Gandhi: For a moment Modi must have thought that #RahulGandhi came to measure 56"" 
#BhookampAaneWalaHai 
#NoConfidenceMotion h…","['moment', 'modi', 'rahulgandhi', 'measure', 'bhookampaanewalahai', 'noconfidencemotion']",positive
@AtholT @NMBmunicipality I'm happy - for the ppl of #NMB - that the #NoConfidenceMotion was put where it belongs. T… https://t.co/ioiEWcfo6E,"['happy', 'ppl', 'nmb', 'noconfidencemotion', 'belongs']",positive
RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…,"['fight', 'majority', 'morality', 'provisions', 'act', 'promises', 'people', 'andhra', 'pradesh']",negative
"#AtalBihariVajpayee reply to Sonia Gandhi in parliament on #NoConfidenceMotion

https://t.co/PUmjgQ5Mgs","['atalbiharivajpayee', 'reply', 'sonia', 'gandhi', 'parliament', 'noconfidencemotion']",negative
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @mithaleshd92: #NoConfidenceMotion 
When #खट्टर_का_काला_चिट्ठा opened in frnt of d country then #देशकादुश्मन_IG_अनिलराव is saying that d…","['noconfidencemotion', 'frnt', 'country', 'saying']",negative
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…,"['fight', 'majority', 'morality', 'provisions', 'act', 'promises', 'people', 'andhra', 'pradesh']",negative
"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…","['thank', 'national', 'regional', 'parties', 'supported', 'fight', 'justice', 'inspite', 'political']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @deepikapadukom: @ImRo45 Who is your Favorite captain???

Retweet For #MSDhoni
Favorite For #ViratKohli
Like For #RohitSharma
Replay for…","['favorite', 'captain', 'retweet', 'msdhoni', 'favorite', 'viratkohli', 'rohitsharma', 'replay']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
RT @INCIndia: Congress President @RahulGandhi addresses the Parliament during the #NoConfidenceMotion https://t.co/aGVMAUCDiZ,"['congress', 'president', 'addresses', 'parliament', 'noconfidencemotion']",positive
"Still I find it painful when I think of the #NoConfidenceMotion on April 17, 1999.. Most would have felt sad for… https://t.co/eT1O4h1XwK","['painful', 'noconfidencemotion', 'april', 'sad']",negative
"@PeterStefanovi2 Cold, calculated destruction of the NHS by a self-serving government who many voters unbelievably… https://t.co/1XsuGpjeQi","['cold', 'calculated', 'destruction', 'nhs', 'government', 'voters']",negative
RT @BJP4CGState: The opposition had neither the numbers nor the issues. It appears that their ego brought the ‘no confidence motion’. ‘Naam…,"['opposition', 'neither', 'nor', 'issues', 'appears', 'ego', 'brought', 'confidence']",negative
"@ShekharGupta @RaisinaSeries and how Lutyens media, Congress and left bring  #noConfidencemotion against the same S… https://t.co/86HxZlEVfy","['lutyens', 'media', 'congress', 'left', 'bring', 'noconfidencemotion']",positive
"RT @Ygaurav_: @narendramodi Back in 1999 ; 

BJP -- 182  
CONgress -- 101 
other regional parties -- 101 seats. 

Atal Bihari Vajpayee ji w…","['bjp', 'congress', 'regional', 'parties', 'seats', 'atal', 'bihari', 'vajpayee', 'ji']",positive
RT @ysjagan: Keenly following the happenings at the Loksabha #NoConfidenceMotion. I will react on this episode at tomorrow’s 8:30am press c…,"['keenly', 'following', 'happenings', 'loksabha', 'noconfidencemotion', 'react', 'episode', 'press']",positive
"RT @abhishkJntrMnt: #NoConfidenceMotion
@INCIndiaLive @pvssarma @ANI @MinhazMerchant @sunetrac @IYC @akhileshsharma1 
@SharmaKhemchand @Kap…",['noconfidencemotion'],negative
"RT @abhishkJntrMnt: #NoConfidenceMotion
@INCIndiaLive @pvssarma @ANI @MinhazMerchant @sunetrac @IYC @akhileshsharma1 
@SharmaKhemchand @Kap…",['noconfidencemotion'],negative
"RT @abhishkJntrMnt: #NoConfidenceMotion
@IndiaToday @abpnewstv @IYCUttarakhand @loksabhatv @yschowdary @akhileshanandd @SudhanshuBJP @Sandi…",['noconfidencemotion'],negative
"RT @abhishkJntrMnt: #NoConfidenceMotion
To what extent can the Haryana Govt go to hide Truth behind Barwala kand!
#खट्टर_का_काला_चिठ्ठा  
@…","['noconfidencemotion', 'extent', 'haryana', 'govt', 'hide', 'truth', 'barwala']",negative
"RT @abhishkJntrMnt: #खट्टर_का_काला_चिठ्ठा  
#NoConfidenceMotion
@HarshadeSilvaMP @MohamedNasheed @NalakaG @akashbanerjee @hmtvlive @TV9Telu…",['noconfidencemotion'],negative
"RT @abhishkJntrMnt: Rahul Gandhi
#NoConfidenceMotion
Watch how the the honest soldier is wrongly framed into the Sedition case.
#फौजी_का_अप…","['rahul', 'gandhi', 'noconfidencemotion', 'watch', 'honest', 'soldier', 'wrongly', 'framed', 'sedition']",positive
"RT @iamnikhilnanda: Shiv Sena abstained from support in #NoConfidenceMotion, but @narendramodi govt won with high majority. Its resistance…","['shiv', 'sena', 'abstained', 'support', 'noconfidencemotion', 'govt', 'won', 'majority']",negative
"RT @Rendynevondo: The opposition must just let #AtholTrollip be, they can't even agree who is going to replace him once they removed him, #…","['opposition', 'atholtrollip', 'agree', 'replace', 'removed']",negative
"RT @dhsisodiya: Here are the earthquakes.
@TajinderBagga @rishibagree @Being_Humor @ShefVaidya @KyaUkhaadLega @FrustIndian @SirJadejaaaa 
#…",['earthquakes'],negative
"This #NoConfidenceMotion on Trollip by opposition was a bad idea from the start, they want to eat their cake and st… https://t.co/RzWSeDnOZy","['noconfidencemotion', 'trollip', 'opposition', 'bad', 'idea', 'start', 'eat', 'cake']",negative
"RT @DhanrajDara1: #फौजी_का_अपमान
Is not acceptable for any Indian but our unfortunately it has been happened.
An Army man has been bearing…","['acceptable', 'indian', 'unfortunately', 'happened', 'army']",negative
"The opposition must just let #AtholTrollip be, they can't even agree who is going to replace him once they removed him, #NoConfidenceMotion","['opposition', 'atholtrollip', 'agree', 'replace', 'removed', 'noconfidencemotion']",negative
RT @ysjagan: Keenly following the happenings at the Loksabha #NoConfidenceMotion. I will react on this episode at tomorrow’s 8:30am press c…,"['keenly', 'following', 'happenings', 'loksabha', 'noconfidencemotion', 'react', 'episode', 'press']",positive
"'If you looking for cowards you can go look at the red clowns, there you will find plenty of cowards, from Julius r… https://t.co/2WCYRXkBj7","['looking', 'cowards', 'look', 'red', 'clowns', 'plenty', 'cowards', 'julius']",positive
"RT @Pankaj___Sharma: #NoConfidenceMotion
@RahulGandhi did not walk up to @narendramodi of his urge to grab his chair. Rahul did that to sha…","['noconfidencemotion', 'walk', 'urge', 'grab', 'chair', 'rahul']",negative
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
"RT @NitinRaut_INC: Superb Speech by Hon'ble Congress President @RahulGandhi 
Language of love is better than language of hate. #BhookampAag…","['superb', 'speech', 'congress', 'president', 'language', 'love', 'language', 'hate']",positive
RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…,"['fight', 'majority', 'morality', 'provisions', 'act', 'promises', 'people', 'andhra', 'pradesh']",negative
"RT @drshraddha16: #NoConfidenceMotion
PIC1 How @narendramodi ji sees&amp;behaves in Parliament
PIC2 How @RahulGandhi sees&amp; behaves in Parliamen…","['noconfidencemotion', 'pic1', 'ji', 'parliament', 'pic2', 'behaves']",negative
"#Rafale price fluctuation as per @RahulGandhi:-
In New Delhi ₹700crs (April 29, Jan Aakrosh)
In Parliament ₹540crs… https://t.co/5ta9mpedtb","['rafale', 'price', 'fluctuation', 'delhi', 'jan', 'parliament']",positive
"RT @RoshanKrRai: Speaker - how much time will your speech take? 

BJP MP - 1 hour madam

Speaker - how much time it will take if i tell you…","['speaker', 'time', 'speech', 'bjp', 'mp', 'hour', 'madam', 'speaker', 'time', 'tell']",positive
"RT @RoshanKrRai: BJP - Rahul Gandhi should not do drama and acting in the parliament. 

Yes I agree , that right is completely reserved to…","['bjp', 'rahul', 'gandhi', 'drama', 'acting', 'parliament', 'yes', 'agree', 'completely', 'reserved']",positive
"RT @RoshanKrRai: #BreakingNews : 

Mark Zuckerberg and Barack Obama to fly tonight to New Delhi , they will meet Rahul Gandhi at his reside…","['breakingnews', 'mark', 'zuckerberg', 'barack', 'obama', 'fly', 'tonight', 'delhi', 'meet', 'rahul', 'gandhi']",positive
"RT @RoshanKrRai: .@MpRammohannaidu - You made BJPs lavish Headquarter in just 1 year , why did you not build a single AIIMS in Andhra Prade…","['bjps', 'lavish', 'headquarter', 'build', 'single', 'aiims', 'andhra']",negative
"RT @irahsinha: Narendra Modi, the name is enough to describe his power, potential,popularity. A man from grassroot level, a swayamsevak of…","['narendra', 'modi', 'name', 'describe', 'power', 'grassroot', 'level', 'swayamsevak']",negative
"RT @ndtv: “You can abuse me, you can call me Pappu, but I don’t have a speck of hatred against you. I will take out this hatred out of you…","['abuse', 'call', 'pappu', 'speck', 'hatred', 'hatred']",negative
RT @NarasinghMishra: BJD shying away from speaking against BJP at a crucial moment and forum proves that they have a secret pact and have b…,"['bjd', 'shying', 'speaking', 'bjp', 'crucial', 'moment', 'forum', 'proves', 'secret', 'pact']",negative
"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…","['thank', 'national', 'regional', 'parties', 'supported', 'fight', 'justice', 'inspite', 'political']",positive
They say comparisons are odious but do seem inescapable when #SomnathChatterjee’s record is weighed against current… https://t.co/Gw6Ns2tLSV,"['comparisons', 'odious', 'inescapable', 'record', 'weighed']",negative
RT @BJP4India: The opposition had neither the numbers nor the issues. It appears that their ego brought the ‘no confidence motion’. ‘Naamda…,"['opposition', 'neither', 'nor', 'issues', 'appears', 'ego', 'brought', 'confidence']",negative
RT @NyolOnline: #NoConfidenceMotion Turned into BoostConfidenceMotion 😂😂 https://t.co/lVgZ3grbRN,"['noconfidencemotion', 'boostconfidencemotion']",negative
"RT @Rahul____Gandhi: For a moment Modi must have thought that #RahulGandhi came to measure 56"" 
#BhookampAaneWalaHai 
#NoConfidenceMotion h…","['moment', 'modi', 'rahulgandhi', 'measure', 'bhookampaanewalahai', 'noconfidencemotion']",positive
"RT @writeqadeer: After scathing attack on the NDA government, Congress president Rahul Gandhi walked up to the ruling benches and hugged PM…","['scathing', 'attack', 'nda', 'government', 'congress', 'president', 'rahul', 'gandhi', 'walked', 'ruling', 'benches', 'hugged']",negative
"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…","['thank', 'national', 'regional', 'parties', 'supported', 'fight', 'justice', 'inspite', 'political']",positive
RT @HMP_News: BREAKING: PM Modi to file molestation case against Rahul Gandhi for hugging without consent. #NoConfidenceMotion,"['pm', 'modi', 'file', 'molestation', 'rahul', 'gandhi', 'hugging', 'consent', 'noconfidencemotion']",negative
"RT @BrijeshTimaniya: OMG @RahulGandhi  hug pm

#NoConfidenceMotion","['omg', 'hug', 'pm', 'noconfidencemotion']",negative
RT @pradip103: Tally of 325 is more than what NDA Have currently. PM @narendramodi led NDA has got more numbers than what they got in 2014.…,"['tally', 'nda', 'currently', 'pm', 'led', 'nda']",positive
"RT @LibertyBlue19: PLEASE EVERYONE, SIGN PETITION re: #Trudeau &amp; his #sexualmisconduct. ANYONE fr any country can sign, plz help! 

https:/…","['please', 'sign', 'petition', 'trudeau', 'sexualmisconduct', 'fr', 'country', 'sign', 'plz']",positive
RT @BJP4India: The opposition had neither the numbers nor the issues. It appears that their ego brought the ‘no confidence motion’. ‘Naamda…,"['opposition', 'neither', 'nor', 'issues', 'appears', 'ego', 'brought', 'confidence']",negative
"RT @LibertyBlue19: PLEASE EVERYONE, SIGN PETITION re: #Trudeau &amp; his #sexualmisconduct. ANYONE fr any country can sign, plz help! 

https:/…","['please', 'sign', 'petition', 'trudeau', 'sexualmisconduct', 'fr', 'country', 'sign', 'plz']",positive
RT @VivekSingr_: If the Court will have to deliver judgement as per the Govt's liking or disliking then Who will people look up to for just…,"['court', 'deliver', 'judgement', 'liking', 'disliking', 'people', 'look']",negative
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…,"['fight', 'majority', 'morality', 'provisions', 'act', 'promises', 'people', 'andhra', 'pradesh']",negative
"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…","['thank', 'national', 'regional', 'parties', 'supported', 'fight', 'justice', 'inspite', 'political']",positive
RT @iirajii: Instead of @narendramodi ji Actually congress has to bring #NoConfidenceMotion against Rahul Gandhi .. I mean his speech and D…,"['instead', 'ji', 'actually', 'congress', 'bring', 'noconfidencemotion', 'rahul', 'gandhi', 'mean', 'speech']",positive
RT @Djha2043: Congrats sir @narendramodi @AmitShah @rajnathsingh for defeating #NoConfidenceMotion Now please defeat #noflatmotion by #amra…,"['congrats', 'sir', 'defeating', 'noconfidencemotion', 'please', 'defeat', 'noflatmotion']",positive
RT @Djha2043: Congrats sir @narendramodi @AmitShah @rajnathsingh for defeating #NoConfidenceMotion Now please defeat #noflatmotion by #amra…,"['congrats', 'sir', 'defeating', 'noconfidencemotion', 'please', 'defeat', 'noflatmotion']",positive
RT @Djha2043: Congrats sir @narendramodi @AmitShah @rajnathsingh for defeating #NoConfidenceMotion Now please defeat #noflatmotion by #amra…,"['congrats', 'sir', 'defeating', 'noconfidencemotion', 'please', 'defeat', 'noflatmotion']",positive
RT @sardesairajdeep: Would I be unfair in giving @narendramodi 7 on 10 for his speech? That's been my rating when I was pushed for one on t…,"['unfair', 'giving', 'speech', 'rating', 'pushed']",negative
RT @iDesiDevil: How I feel when I see a hot girl walking by. #NoConfidenceMotion https://t.co/FIlAlHLsO7,"['feel', 'hot', 'girl', 'walking', 'noconfidencemotion']",negative
RT @BJP4India: We cannot thank you enough for the entertainment! #NoConfidenceMotion https://t.co/egtgpnvuYX,"['thank', 'noconfidencemotion']",positive
"@MattWingett @TheNewEuropean Exactly! The lack of logic, in social media, is mind-blowing! #nodealbrexit… https://t.co/rScnMyjcWW","['lack', 'logic', 'social', 'media']",negative
RT @RohitSharmaINC: Our PM loves to hug many world leaders including Chinese President &amp; PM of Pakistan but not opposition biggest leader o…,"['pm', 'loves', 'hug', 'world', 'leaders', 'including', 'chinese', 'president', 'pm', 'pakistan', 'opposition', 'biggest', 'leader']",positive
RT @varunpuri1984: I thank you @RahulGandhi for for the entertainment for the day . It was real treat to see you speak in parliament . Now…,"['thank', 'entertainment', 'day', 'real', 'treat', 'speak', 'parliament']",positive
RT @ANI: #WATCH LIVE: Congress President Rahul Gandhi speaking during #NoConfidenceMotion debate in Lok Sabha https://t.co/esYiOCM4fR,"['watch', 'congress', 'president', 'rahul', 'gandhi', 'speaking', 'noconfidencemotion', 'debate', 'lok', 'sabha']",positive
"RT @AshokGoelBJP: Try again in 2024!

#IndiaTrustsModi #NoConfidenceMotion https://t.co/Nd2owyCd2Q","['try', 'indiatrustsmodi', 'noconfidencemotion']",positive
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…,"['fight', 'majority', 'morality', 'provisions', 'act', 'promises', 'people', 'andhra', 'pradesh']",negative
"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…","['thank', 'national', 'regional', 'parties', 'supported', 'fight', 'justice', 'inspite', 'political']",positive
RT @pradip103: Tally of 325 is more than what NDA Have currently. PM @narendramodi led NDA has got more numbers than what they got in 2014.…,"['tally', 'nda', 'currently', 'pm', 'led', 'nda']",positive
"RT @abhishkJntrMnt: Rahul Gandhi
#NoConfidenceMotion
Watch how the the honest soldier is wrongly framed into the Sedition case.
#फौजी_का_अप…","['rahul', 'gandhi', 'noconfidencemotion', 'watch', 'honest', 'soldier', 'wrongly', 'framed', 'sedition']",positive
RT @smitabarooah: So mitron? You still need more reasons to vote him back in 2019? 😉 #NoConfidenceMotion,"['mitron', 'reasons', 'vote', 'noconfidencemotion']",negative
RT @kpmaurya1: The opposition had neither the numbers nor the issues. It appears that their ego brought the ‘no confidence motion’. ‘Naamda…,"['opposition', 'neither', 'nor', 'issues', 'appears', 'ego', 'brought', 'confidence']",negative
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…,"['fight', 'majority', 'morality', 'provisions', 'act', 'promises', 'people', 'andhra', 'pradesh']",negative
"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…","['thank', 'national', 'regional', 'parties', 'supported', 'fight', 'justice', 'inspite', 'political']",positive
RT @varunpuri1984: I thank you @RahulGandhi for for the entertainment for the day . It was real treat to see you speak in parliament . Now…,"['thank', 'entertainment', 'day', 'real', 'treat', 'speak', 'parliament']",positive
"RT @Ashish_1905: साला नौटंकी घड़ी घड़ी ड्रामा करता है...
Apt dialogue frm movie sholay after watching Pm #Modi 's speech🤣
&amp; Apparently ever…","['apt', 'dialogue', 'frm', 'movie', 'sholay', 'watching', 'pm', 'modi', 'apparently']",negative
"RT @DhanrajDara1: #NoConfidenceMotion 
 totally confusion about other parties but BJP has been cleared because
#खट्टर_का_काला_चिट्ठा
Has be…","['noconfidencemotion', 'totally', 'confusion', 'parties', 'bjp', 'cleared']",positive
"RT @DhanrajDara1: #फौजी_का_अपमान
Is not acceptable for any Indian but our unfortunately it has been happened.
An Army man has been bearing…","['acceptable', 'indian', 'unfortunately', 'happened', 'army']",negative
RT @TroluKejri: MPs' minds were hacked via Bluetooth. Our internal survey reveal the correct figures Of #NoConfidenceMotion votes. PM Modi…,"['mps', 'minds', 'hacked', 'via', 'bluetooth', 'internal', 'survey', 'reveal', 'correct', 'figures', 'noconfidencemotion', 'votes', 'pm']",neutral
"RT @zairawasims: Good Morning everyone 🌿🌺
❤️❤️❤️

#NoConfidenceMotion #Dhadak #GSTCouncilMeet #Zero #Bharat
#AamirKhan #ThugsOfHindostan #Z…","['morning', 'noconfidencemotion', 'dhadak', 'gstcouncilmeet', 'zero', 'bharat', 'aamirkhan', 'thugsofhindostan']",negative
"RT @abhishkJntrMnt: #NoConfidenceMotion
@IndiaToday @abpnewstv @IYCUttarakhand @loksabhatv @yschowdary @akhileshanandd @SudhanshuBJP @Sandi…",['noconfidencemotion'],negative
"RT @abhishkJntrMnt: #खट्टर_का_काला_चिठ्ठा  
#NoConfidenceMotion
@HarshadeSilvaMP @MohamedNasheed @NalakaG @akashbanerjee @hmtvlive @TV9Telu…",['noconfidencemotion'],negative
"RT @abhi_leo1: #NoConfidenceMotion

A Random beautiful girl ""accidently"" looks at me..

Me:😺 https://t.co/0jBljTxGAJ","['noconfidencemotion', 'random', 'beautiful', 'girl', 'accidently', 'looks']",negative
"RT @LibertyBlue19: PLEASE EVERYONE, SIGN PETITION re: #Trudeau &amp; his #sexualmisconduct. ANYONE fr any country can sign, plz help! 

https:/…","['please', 'sign', 'petition', 'trudeau', 'sexualmisconduct', 'fr', 'country', 'sign', 'plz']",positive
"PLEASE EVERYONE, SIGN PETITION re: #Trudeau &amp; his #sexualmisconduct. ANYONE fr any country can sign, plz help!… https://t.co/K3TBun3idn","['please', 'sign', 'petition', 'trudeau', 'sexualmisconduct', 'fr', 'country', 'sign', 'plz']",positive
RT @diptidange: @ghost22090440 @ankurshah077077 @Rppatel40 @rclcpa4 @Prakash12Joshi @Mukeshreal02 @mahendra24_ @wani_darshan @Rakesh25182 @…,[],negative
